Sample_ID,Locus,Type,Well,Timepoint,Replicate,PE1_index,RC_for_index,RC_rev_index,PE2_index
210,MCM6,CAN1,J9,can_recov,2,3,10,9,3
211,SES1,CAN1,A10,T0,1,3,1,10,3
212,SES1,CAN1,B10,T0,2,3,2,10,3
213,SES1,CAN1,C10,T6,1,3,3,10,3
214,SES1,CAN1,D10,T6,2,3,4,10,3
215,SES1,CAN1,E10,T12,1,3,5,10,3
216,SES1,CAN1,F10,T12,2,3,6,10,3
217,SES1,CAN1,G10,Plating,1,3,7,10,3
218,SES1,CAN1,H10,Plating,2,3,8,10,3
219,SES1,CAN1,I10,can_recov,1,3,9,10,3
220,SES1,CAN1,J10,can_recov,2,3,10,10,3
221,YCL074W,CAN1,A11,T0,1,3,1,12,3
222,YCL074W,CAN1,B11,T0,2,3,2,12,3
223,YCL074W,CAN1,C11,T6,1,3,3,12,3
224,YCL074W,CAN1,D11,T6,2,3,4,12,3
225,YCL074W,CAN1,E11,T12,1,3,5,12,3
226,YCL074W,CAN1,F11,T12,2,3,6,12,3
227,YCL074W,CAN1,G11,Plating,1,3,7,12,3
228,YCL074W,CAN1,H11,Plating,2,3,8,12,3
229,YCL074W,CAN1,I11,can_recov,1,3,9,12,3
230,YCL074W,CAN1,J11,can_recov,2,3,10,12,3
231,VPS17,CAN1,A12,T0,1,3,1,13,3
232,VPS17,CAN1,B12,T0,2,3,2,13,3
233,VPS17,CAN1,C12,T6,1,3,3,13,3
234,VPS17,CAN1,D12,T6,2,3,4,13,3
235,VPS17,CAN1,E12,T12,1,3,5,13,3
236,VPS17,CAN1,F12,T12,2,3,6,13,3
237,VPS17,CAN1,G12,Plating,1,3,7,13,3
238,VPS17,CAN1,H12,Plating,2,3,8,13,3
239,VPS17,CAN1,I12,can_recov,1,3,9,13,3
240,VPS17,CAN1,J12,can_recov,2,3,10,13,3
